FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber
AA887,Y,CLT,DFW,0710,0840,430,520,0710,0834,430.0,514.0,2.0,Domestic,0,150,C36,,2016-05-02 08:40:00,2016-05-02 12:14:00,2016-05-02 08:34:00,2016-05-02 12:08:00,2016-05-02 13:40,2016-05-02 16:14,2016-05-02 13:34,2016-05-02 16:08,N912UY
AA3685,Y,XNA,DFW,0715,0845,435,525,0715,0843,435.0,523.0,3.0,Domestic,0,75,B37,,2016-05-02 08:45:00,2016-05-02 09:55:00,2016-05-02 08:43:00,2016-05-02 10:01:00,2016-05-02 13:45,2016-05-02 14:55,2016-05-02 13:43,2016-05-02 15:01,N843AE
AA3428,Y,SGF,DFW,0715,0845,435,525,0648,0843,408.0,523.0,3.0,Domestic,0,75,B44,,2016-05-02 08:45:00,2016-05-02 10:03:00,2016-05-02 08:43:00,2016-05-02 09:52:00,2016-05-02 13:45,2016-05-02 15:03,2016-05-02 13:43,2016-05-02 14:52,N649PP
AA1402,Y,SEA,DFW,0715,0845,435,525,0715,0840,435.0,520.0,2.0,Domestic,0,150,A25,,2016-05-02 08:45:00,2016-05-02 11:00:00,2016-05-02 08:40:00,2016-05-02 10:30:00,2016-05-02 13:45,2016-05-02 18:00,2016-05-02 13:40,2016-05-02 17:30,N145AN
AA3210,N,DFW,LIT,0719,0800,439,480,0719,0756,439.0,476.0,3.0,,75,0,,B5,2016-05-02 05:58:00,2016-05-02 07:19:00,2016-05-02 06:03:00,2016-05-02 07:19:00,2016-05-02 10:58,2016-05-02 12:19,2016-05-02 11:03,2016-05-02 12:19,N230NN
AA3139,Y,XNA,DFW,0719,0800,439,480,0719,0756,439.0,476.0,3.0,Domestic,0,75,B5,,2016-05-02 08:00:00,2016-05-02 09:07:00,2016-05-02 07:56:00,2016-05-02 09:03:00,2016-05-02 13:00,2016-05-02 14:07,2016-05-02 12:56,2016-05-02 14:03,N230NN
AA277,Y,SAN,DFW,0720,0850,440,530,0720,0849,440.0,529.0,2.0,Domestic,0,150,A11,,2016-05-02 08:50:00,2016-05-02 10:02:00,2016-05-02 08:49:00,2016-05-02 10:21:00,2016-05-02 13:50,2016-05-02 17:02,2016-05-02 13:49,2016-05-02 17:21,N677AN
AA3299,Y,DRO,DFW,0720,0850,440,530,0720,0847,440.0,527.0,3.0,Domestic,0,75,B15,,2016-05-02 08:50:00,2016-05-02 09:58:00,2016-05-02 08:47:00,2016-05-02 10:01:00,2016-05-02 13:50,2016-05-02 15:58,2016-05-02 13:47,2016-05-02 16:01,N939AE
AA2832,Y,SPS,DFW,0720,0850,440,530,0720,0918,440.0,558.0,3.0,Domestic,0,75,B30,,2016-05-02 08:50:00,2016-05-02 09:46:00,2016-05-02 09:18:00,2016-05-02 10:10:00,2016-05-02 13:50,2016-05-02 14:46,2016-05-02 14:18,2016-05-02 15:10,N673AE
AA2757,Y,BRO,DFW,0720,0850,440,530,0720,0845,440.0,525.0,3.0,Domestic,0,75,B28,,2016-05-02 08:50:00,2016-05-02 10:32:00,2016-05-02 08:45:00,2016-05-02 10:52:00,2016-05-02 13:50,2016-05-02 15:32,2016-05-02 13:45,2016-05-02 15:52,N677AE
AA3163,N,DFW,SAV,0729,0810,449,490,0711,0808,431.0,488.0,3.0,,75,0,,B11,2016-05-02 05:35:00,2016-05-02 07:29:00,2016-05-02 05:28:00,2016-05-02 07:11:00,2016-05-02 09:35,2016-05-02 12:29,2016-05-02 09:28,2016-05-02 12:11,N226NN
AA2301,N,DFW,ORD,0729,0855,449,535,0733,0854,453.0,534.0,2.0,,150,0,,C26,2016-05-02 05:00:00,2016-05-02 07:29:00,2016-05-02 04:54:00,2016-05-02 07:33:00,2016-05-02 10:00,2016-05-02 12:29,2016-05-02 09:54,2016-05-02 12:33,N983TW
AA2510,Y,SLC,DFW,0729,0855,449,535,0733,0854,453.0,534.0,2.0,Domestic,0,150,C26,,2016-05-02 08:55:00,2016-05-02 10:47:00,2016-05-02 08:54:00,2016-05-02 10:37:00,2016-05-02 13:55,2016-05-02 16:47,2016-05-02 13:54,2016-05-02 16:37,N983TW
AA3313,Y,LIT,DFW,0729,0810,449,490,0711,0808,431.0,488.0,3.0,Domestic,0,75,B11,,2016-05-02 08:10:00,2016-05-02 09:21:00,2016-05-02 08:08:00,2016-05-02 09:35:00,2016-05-02 13:10,2016-05-02 14:21,2016-05-02 13:08,2016-05-02 14:35,N226NN
