FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,EnterGateTime,ExitGateTime,OptDepGate,OptArrGate
AA2374,Y,DEN,DFW,603,715,363,435,606,711,366.0,431.0,2.0,Domestic,0,150,A20,,2016-05-02 07:15:00,2016-05-02 08:22:00,2016-05-02 07:11:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 14:22,2016-05-02 12:11,2016-05-02 14:31,N137AA,363,435,B29,
AA1230,N,DFW,SEA,603,715,363,435,606,711,366.0,431.0,2.0,,150,0,,A20,2016-05-02 00:10:00,2016-05-02 06:03:00,2016-05-02 00:07:00,2016-05-02 06:06:00,2016-05-02 07:10,2016-05-02 11:03,2016-05-02 07:07,2016-05-02 11:06,N137AA,363,435,,B29
AA3179,N,DFW,OKC,604,634,364,394,551,634,351.0,394.0,3.0,,75,0,,B31,2016-05-02 05:00:00,2016-05-02 06:04:00,2016-05-02 04:48:00,2016-05-02 05:51:00,2016-05-02 10:00,2016-05-02 11:04,2016-05-02 09:48,2016-05-02 10:51,N539EA,364,394,,C27
AA2186,Y,SJU,DFW,608,705,368,425,614,701,374.0,421.0,2.0,Domestic,0,150,A33,,2016-05-02 07:05:00,2016-05-02 12:44:00,2016-05-02 07:01:00,2016-05-02 12:27:00,2016-05-02 12:05,2016-05-02 16:44,2016-05-02 12:01,2016-05-02 16:27,N817NN,368,425,A13,
AA1102,N,DFW,AUS,608,705,368,425,614,701,374.0,421.0,2.0,,150,0,,A33,2016-05-02 05:05:00,2016-05-02 06:08:00,2016-05-02 05:01:00,2016-05-02 06:14:00,2016-05-02 10:05,2016-05-02 11:08,2016-05-02 10:01,2016-05-02 11:14,N817NN,368,425,,A13
AA5723,N,DFW,LBB,611,700,371,420,556,659,356.0,419.0,3.0,,75,0,,B26,2016-05-02 05:00:00,2016-05-02 06:11:00,2016-05-02 04:54:00,2016-05-02 05:56:00,2016-05-02 10:00,2016-05-02 11:11,2016-05-02 09:54,2016-05-02 10:56,N245LR,371,420,,A14
AA5782,Y,JAX,DFW,611,700,371,420,556,659,356.0,419.0,3.0,Domestic,0,75,B26,,2016-05-02 07:00:00,2016-05-02 10:28:00,2016-05-02 06:59:00,2016-05-02 10:21:00,2016-05-02 12:00,2016-05-02 14:28,2016-05-02 11:59,2016-05-02 14:21,N245LR,371,420,A14,
AA8,N,DFW,HNL,615,645,375,405,605,645,365.0,405.0,1.0,,300,0,,A24,2016-05-02 17:40:00,2016-05-03 06:15:00,2016-05-02 17:33:00,2016-05-03 06:05:00,2016-05-03 03:40,2016-05-03 11:15,2016-05-03 03:33,2016-05-03 11:05,N377AN,375,405,,C26
AA2180,Y,CMH,DFW,617,715,377,435,609,710,369.0,430.0,2.0,Domestic,0,150,C19,,2016-05-02 07:15:00,2016-05-02 10:39:00,2016-05-02 07:10:00,2016-05-02 10:21:00,2016-05-02 12:15,2016-05-02 14:39,2016-05-02 12:10,2016-05-02 14:21,N9405T,377,435,C11,
AA3524,Y,DAY,DFW,617,710,377,430,613,707,373.0,427.0,3.0,Domestic,0,75,B30,,2016-05-02 07:10:00,2016-05-02 10:30:00,2016-05-02 07:07:00,2016-05-02 10:50:00,2016-05-02 12:10,2016-05-02 14:30,2016-05-02 12:07,2016-05-02 14:50,N907AE,377,430,C6,
